id,origin,destination,algorithm,distance_straight_line,obst_qty,time_to_plan,d_path,ratio,distance_to_objective,factibility,qty_wp,first_factible_route_found_time,exception,battery
420,region_10,region_6,rrt,1.784894617690031,0,0.028804540634155273,1891.710849812923,1059.8445594850473,0.0,feasible,77,,,100
420,region_10,region_6,rrt,1.784894617690031,0,0.028804540634155273,1891.710849812923,1059.8445594850473,0.0,feasible,77,,,75
420,region_10,region_6,rrt,1.784894617690031,0,0.028804540634155273,1891.710849812923,1059.8445594850473,0.0,feasible,77,,,50
420,region_10,region_6,rrt,1.784894617690031,0,0.028804540634155273,1891.710849812923,1059.8445594850473,0.0,feasible,77,,,25
420,region_10,region_6,rrt,1.784894617690031,0,0.028804540634155273,1891.710849812923,1059.8445594850473,0.0,feasible,77,,,15
420,region_10,region_6,rrt,1.784894617690031,0,0.028804540634155273,1891.710849812923,1059.8445594850473,0.0,feasible,77,,,10
421,region_10,region_6,pfp,1.784894617690031,0,9.859545946121216,1920.9468915921875,1076.224261395461,545.0793744977159,verify,87,,,100
421,region_10,region_6,pfp,1.784894617690031,0,9.859545946121216,1920.9468915921875,1076.224261395461,545.0793744977159,verify,87,,,75
421,region_10,region_6,pfp,1.784894617690031,0,9.859545946121216,1920.9468915921875,1076.224261395461,545.0793744977159,verify,87,,,50
421,region_10,region_6,pfp,1.784894617690031,0,9.859545946121216,1920.9468915921875,1076.224261395461,545.0793744977159,verify,87,,,25
421,region_10,region_6,pfp,1.784894617690031,0,9.859545946121216,1920.9468915921875,1076.224261395461,545.0793744977159,verify,87,,,15
421,region_10,region_6,pfp,1.784894617690031,0,9.859545946121216,1920.9468915921875,1076.224261395461,545.0793744977159,verify,87,,,10
422,region_10,region_6,ag,1.784894617690031,0,0.6098604202270508,1834.1682346596065,1027.6058969987507,0,feasible,7,,,100
422,region_10,region_6,ag,1.784894617690031,0,0.6098604202270508,1834.1682346596065,1027.6058969987507,0,feasible,7,,,75
422,region_10,region_6,ag,1.784894617690031,0,0.6098604202270508,1834.1682346596065,1027.6058969987507,0,feasible,7,,,50
422,region_10,region_6,ag,1.784894617690031,0,0.6098604202270508,1834.1682346596065,1027.6058969987507,0,feasible,7,,,25
422,region_10,region_6,ag,1.784894617690031,0,0.6098604202270508,1834.1682346596065,1027.6058969987507,0,feasible,7,,,15
422,region_10,region_6,ag,1.784894617690031,0,0.6098604202270508,1834.1682346596065,1027.6058969987507,0,feasible,7,,,10
423,region_10,region_7,rrt,0.019865875633404088,0,0.0002944469451904297,19.947247384767138,1004.0960566181249,0.0,feasible,3,,,100
423,region_10,region_7,rrt,0.019865875633404088,0,0.0002944469451904297,19.947247384767138,1004.0960566181249,0.0,feasible,3,,,75
423,region_10,region_7,rrt,0.019865875633404088,0,0.0002944469451904297,19.947247384767138,1004.0960566181249,0.0,feasible,3,,,50
423,region_10,region_7,rrt,0.019865875633404088,0,0.0002944469451904297,19.947247384767138,1004.0960566181249,0.0,feasible,3,,,25
423,region_10,region_7,rrt,0.019865875633404088,0,0.0002944469451904297,19.947247384767138,1004.0960566181249,0.0,feasible,3,,,15
423,region_10,region_7,rrt,0.019865875633404088,0,0.0002944469451904297,19.947247384767138,1004.0960566181249,0.0,feasible,3,,,10
424,region_10,region_7,pfp,0.019865875633404088,0,4.750498056411743,0,0.0,1000.5342655678271,verify,1,,,100
424,region_10,region_7,pfp,0.019865875633404088,0,4.750498056411743,0,0.0,1000.5342655678271,verify,1,,,75
424,region_10,region_7,pfp,0.019865875633404088,0,4.750498056411743,0,0.0,1000.5342655678271,verify,1,,,50
424,region_10,region_7,pfp,0.019865875633404088,0,4.750498056411743,0,0.0,1000.5342655678271,verify,1,,,25
424,region_10,region_7,pfp,0.019865875633404088,0,4.750498056411743,0,0.0,1000.5342655678271,verify,1,,,15
424,region_10,region_7,pfp,0.019865875633404088,0,4.750498056411743,0,0.0,1000.5342655678271,verify,1,,,10
425,region_10,region_7,ag,0.019865875633404088,0,0.2947845458984375,10.045092501441754,505.64559482850706,0,feasible,6,,,100
425,region_10,region_7,ag,0.019865875633404088,0,0.2947845458984375,10.045092501441754,505.64559482850706,0,feasible,6,,,75
