id,origin,destination,algorithm,battery,obstacles_qty,distance,time_to_plan,distance_path,ratio,distance_to_objective,factibility,qty_wp,first_factible_route_found_time,exception
59,region_4,base_4,rrt,,0,1885.6406927803714,1.2921714782714844,2130.223050583365,1.1297078275513655,0.0,feasible,87,,
60,region_5,region_1,rrt,,1,3855.5336870601086,1.5414667129516602,4241.140154221907,1.1000137720118919,0.0,feasible,171,,
61,region_5,region_2,rrt,,0,1231.9841550149051,1.1843161582946777,1324.4173576464132,1.0750279151361242,0.0,feasible,54,,
62,region_5,region_3,rrt,,0,1922.0973499884026,1.5229847431182861,2216.4268188220253,1.1531293245034642,0.0,feasible,90,,
63,region_5,region_4,rrt,,0,2990.493583752786,1.412623643875122,3178.72635407973,1.0629437131547794,0.0,feasible,129,,
64,region_5,region_6,rrt,,0,790.9863318451643,1.4949913024902344,919.0358703818335,1.1618859054592805,0.0,feasible,38,,
65,region_5,region_7,rrt,,0,1842.9505353848515,1.6175141334533691,1996.0155778138712,1.0830543411177642,0.0,feasible,81,,
66,region_5,region_8,rrt,,0,2335.072734382897,1.527916431427002,2661.989563189002,1.1400028461608076,0.0,feasible,108,,
67,region_5,region_9,rrt,,0,258.7410364555882,1.6370666027069092,306.8647553465542,1.185991830094668,0.0,feasible,14,,
68,region_5,region_10,rrt,,0,617.9149228225778,1.2333810329437256,702.2680929410169,1.1365125958329696,0.0,feasible,30,,
69,region_5,region_11,rrt,,0,479.0733114651323,1.270519495010376,529.4954097285719,1.1052492323340566,0.0,feasible,23,,
70,region_5,region_12,rrt,,0,751.6922054632438,1.5515375137329102,805.6253335796117,1.0717489521966383,0.0,feasible,34,,
71,region_5,base_1,rrt,,0,2920.9866459095474,1.9151654243469238,3149.6633860576285,1.0782874993517386,0.0,feasible,127,,
72,region_5,base_2,rrt,,0,2859.287996979528,1.5889711380004883,3058.578069530615,1.0696991953107247,0.0,feasible,124,,
73,region_5,base_3,rrt,,0,1327.8426533445536,1.339418649673462,1520.9421034633997,1.1454234427795114,0.0,feasible,62,,
74,region_5,base_4,rrt,,0,1126.1863434589857,1.461179256439209,1166.5993843722388,1.035884861460074,0.0,feasible,48,,
75,region_6,region_1,rrt,,1,3065.194324723351,1.6396071910858154,3325.790856731238,1.0850179480974365,0.0,feasible,135,,
76,region_6,region_2,rrt,,0,498.4185861427892,1.4530866146087646,586.620145140872,1.1769628209105636,0.0,feasible,25,,
77,region_6,region_3,rrt,,0,1307.9400753573977,1.3325436115264893,1440.2570041415124,1.101164366225233,0.0,feasible,59,,
78,region_6,region_4,rrt,,0,2525.8007576709524,1.2981040477752686,2784.9091719700396,1.1025846609286838,0.0,feasible,113,,
79,region_6,region_5,rrt,,0,790.9863318451643,1.4667840003967285,876.8415074361803,1.108541920554731,0.0,feasible,37,,
80,region_6,region_7,rrt,,0,1403.1669843672273,1.5403809547424316,1477.6328937834048,1.053069884230321,0.0,feasible,61,,
81,region_6,region_8,rrt,,0,1867.985334887161,1.5171263217926025,2018.168655129073,1.080398554226864,0.0,feasible,82,,
82,region_6,region_9,rrt,,0,1047.1664496827916,1.52532958984375,1252.0183385783862,1.1956249543304682,0.0,feasible,52,,
